"","name_prov","year","ganador","ganadorPais","match"
"61","CORRIENTES",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"62","CORRIENTES",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"63","CORRIENTES",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"64","ENTRE RIOS",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"65","ENTRE RIOS",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"66","ENTRE RIOS",1995,"1995 Alianza Frente Justicialista Entrerriano","1995 Menem - Ruckauf",NA
"67","ENTRE RIOS",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"68","ENTRE RIOS",2003,"2003 Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"69","ENTRE RIOS",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"70","ENTRE RIOS",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"71","ENTRE RIOS",2015,"2015 Macri - Michetti (Alianza Cambiemos)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"72","ENTRE RIOS",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"73","FORMOSA",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"74","FORMOSA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"75","FORMOSA",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"76","FORMOSA",1999,"1999 Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio)","1999 De La Rua - Alvarez",NA
"77","FORMOSA",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"78","FORMOSA",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"79","FORMOSA",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"80","FORMOSA",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"81","FORMOSA",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"82","JUJUY",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"83","JUJUY",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"84","JUJUY",1995,"1995 Frente Justicialista Popular","1995 Menem - Ruckauf",NA
"85","JUJUY",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"86","JUJUY",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"87","JUJUY",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"88","JUJUY",2011,"2011 Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"89","JUJUY",2015,"2015 Massa - Saenz (Alianza Unidos Por Una Nueva Alternativa)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"90","JUJUY",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"91","LA PAMPA",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"92","LA PAMPA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"93","LA PAMPA",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"94","LA PAMPA",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"95","LA PAMPA",2003,"2003 Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"96","LA PAMPA",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"97","LA PAMPA",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"98","LA PAMPA",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"99","LA PAMPA",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"100","LA RIOJA",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"101","LA RIOJA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"102","LA RIOJA",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"103","LA RIOJA",1999,"1999 Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio)","1999 De La Rua - Alvarez",NA
"104","LA RIOJA",2003,"2003 Menem-Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"105","LA RIOJA",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"106","LA RIOJA",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"107","LA RIOJA",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"108","LA RIOJA",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"109","MENDOZA",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"110","MENDOZA",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"111","MENDOZA",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"112","MENDOZA",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"113","MENDOZA",2003,"2003 Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"114","MENDOZA",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"115","MENDOZA",2011,"2011 Fernández de Kirchner - Boudou (ALIANZA FRENTE PARA LA VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"116","MENDOZA",2015,"2015 Macri - Michetti (Alianza Cambiemos)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"117","MENDOZA",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"118","MISIONES",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"119","MISIONES",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"120","MISIONES",1995,"1995 Frente Justicialista Popular","1995 Menem - Ruckauf",NA
"121","MISIONES",1999,"1999 Duhalde - Ortega (Alianza Concertacion Justicialista Para El Cambio)","1999 De La Rua - Alvarez",NA
"122","MISIONES",2003,"2003 Menem - Romero (Alianza Frente Por La Lealtad - Union De Centro Democratico)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"123","MISIONES",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"124","MISIONES",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"125","MISIONES",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"126","MISIONES",2019,"2019 Fernández.-.Fernández.(FRENTE.DE.TODOS)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"127","NEUQUEN",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"128","NEUQUEN",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",NA
"129","NEUQUEN",1995,"1995 Justicialista","1995 Menem - Ruckauf",NA
"130","NEUQUEN",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",NA
"131","NEUQUEN",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
