"","name_prov","year","ganador","ganadorPais","match"
"162","SAN JUAN",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",1
"163","SAN LUIS",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",1
"164","SAN LUIS",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",1
"165","SAN LUIS",1995,"1995 Justicialista","1995 Menem - Ruckauf",1
"166","SAN LUIS",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",1
"167","SAN LUIS",2003,"2003 Rodríguez Saa-Posse (Alianza Frente Movimiento Popular - Union Y Libertad)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"168","SAN LUIS",2007,"2007 Rodriguez Saá - Maya (Alianza Frente Justicia, Union Y Libertad)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",NA
"169","SAN LUIS",2011,"2011 Rodríguez.Saa.-.Vernet.(ALIANZA.COMPROMISO.FEDERAL)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",NA
"170","SAN LUIS",2015,"2015 Rodriguez Saa - Negre De Alonso (Alianza Compromiso Federal)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",NA
"171","SAN LUIS",2019,"2019 Macri - Pichetto (Juntos Por El Cambio)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",NA
"172","SANTA CRUZ",1983,"1983 Justicialista","1983 Alfonsin - Martinez (Union Civica Radical)",NA
"173","SANTA CRUZ",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",1
"174","SANTA CRUZ",1995,"1995 Justicialista","1995 Menem - Ruckauf",1
"175","SANTA CRUZ",1999,"1999 De La Rua - Alvarez (Alianza Para El Trabajo, La Justicia Y La Educacion)","1999 De La Rua - Alvarez",1
"176","SANTA CRUZ",2003,"2003 Kirchner-Scioli (Alianza Frente Para La Victoria)","2003 Menem - Romero (Alianza Frente Por La Lealtad-Ucede)",NA
"177","SANTA CRUZ",2007,"2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)","2007 Fernández De Kirchner - Cobos (Alianza Frente Para La Victoria)",1
"178","SANTA CRUZ",2011,"2011 Fernández.de.Kirchner.-.Boudou.(ALIANZA.FRENTE.PARA.LA.VICTORIA)","2011 Fernández De Kirchner - Boudou (Alianza Frente Para La Victoria)",1
"179","SANTA CRUZ",2015,"2015 Scioli - Zaninni (Alianza Frente Para La Victoria)","2015 Scioli - Zaninni (Alianza Frente Para La Victoria)",1
"180","SANTA CRUZ",2019,"2019 Fernández - Fernández De Kirchner (Frente De Todos)","2019 Fernández - Fernández De Kirchner (Frente De Todos)",1
"181","SANTA FE",1983,"1983 Union Civica Radical","1983 Alfonsin - Martinez (Union Civica Radical)",1
"182","SANTA FE",1989,"1989 Frente Justicialista Popular","1989 Menem - Duhalde (Frente Justicialista De Unidad Popular)",1
